Price,Close,High,Low,Open,Volume
Ticker,TNXP,TNXP,TNXP,TNXP,TNXP
Date,,,,,
2024-02-27,1184.0,1216.0,1152.0,1152.0,735
2024-02-28,1184.0,1248.0,1184.0,1216.0,423
2024-02-29,1216.0,1248.0,1184.0,1248.0,518
2024-03-01,1184.0,1216.0,1120.0,1216.0,519
2024-03-04,1216.0,1216.0,1120.0,1216.0,403
2024-03-05,1152.0,1216.0,1152.0,1184.0,331
2024-03-06,1184.0,1184.0,1152.0,1184.0,208
2024-03-07,1184.0,1184.0,1120.0,1184.0,419
2024-03-08,1184.0,1216.0,1152.0,1216.0,218
2024-03-11,1152.0,1216.0,1120.0,1184.0,831
2024-03-12,1056.0,1152.0,1056.0,1152.0,509
2024-03-13,1056.0,1120.0,1056.0,1120.0,326
2024-03-14,1056.0,1120.0,1056.0,1120.0,148
2024-03-15,1024.0,1120.0,1024.0,1120.0,512
2024-03-18,1056.0,1120.0,1024.0,1088.0,255
2024-03-19,1120.0,1184.0,1088.0,1120.0,604
2024-03-20,1152.0,1184.0,1056.0,1152.0,542
2024-03-21,1088.0,1184.0,1088.0,1152.0,503
2024-03-22,1120.0,1152.0,1056.0,1152.0,265
2024-03-25,1056.0,1120.0,1024.0,1120.0,1302
2024-03-26,1088.0,1152.0,1024.0,1056.0,563
2024-03-27,1056.0,1152.0,1024.0,1120.0,489
2024-03-28,608.0,1088.0,544.0,1056.0,6851
2024-04-01,608.0,640.0,544.0,640.0,2808
2024-04-02,608.0,608.0,576.0,608.0,1319
2024-04-03,640.0,640.0,608.0,608.0,1281
2024-04-04,608.0,640.0,608.0,640.0,812
2024-04-05,544.0,608.0,544.0,608.0,1787
2024-04-08,608.0,608.0,544.0,576.0,1108
2024-04-09,608.0,608.0,576.0,576.0,802
2024-04-10,544.0,576.0,544.0,576.0,1069
2024-04-11,544.0,576.0,512.0,576.0,1286
2024-04-12,512.0,544.0,512.0,544.0,794
2024-04-15,480.0,544.0,448.0,544.0,1551
2024-04-16,480.0,480.0,384.0,480.0,1685
2024-04-17,512.0,512.0,448.0,512.0,634
2024-04-18,512.0,512.0,480.0,512.0,457
2024-04-19,512.0,512.0,480.0,480.0,344
2024-04-22,512.0,512.0,480.0,512.0,428
2024-04-23,512.0,512.0,480.0,480.0,497
2024-04-24,512.0,512.0,512.0,512.0,309
2024-04-25,512.0,512.0,480.0,512.0,317
2024-04-26,544.0,544.0,512.0,512.0,581
2024-04-29,576.0,576.0,544.0,544.0,752
2024-04-30,576.0,576.0,544.0,576.0,461
2024-05-01,576.0,576.0,544.0,576.0,374
2024-05-02,544.0,576.0,544.0,576.0,512
2024-05-03,576.0,608.0,576.0,576.0,714
2024-05-06,608.0,640.0,608.0,608.0,1200
2024-05-07,608.0,640.0,576.0,608.0,613
2024-05-08,576.0,640.0,512.0,640.0,468
2024-05-09,576.0,576.0,576.0,576.0,290
2024-05-10,544.0,576.0,544.0,576.0,371
2024-05-13,544.0,576.0,544.0,544.0,479
2024-05-14,576.0,608.0,544.0,544.0,1287
2024-05-15,576.0,608.0,576.0,576.0,313
2024-05-16,576.0,608.0,576.0,608.0,460
2024-05-17,640.0,672.0,640.0,640.0,2263
2024-05-20,608.0,672.0,608.0,640.0,734
2024-05-21,576.0,672.0,576.0,640.0,1016
2024-05-22,608.0,640.0,608.0,608.0,609
2024-05-23,544.0,640.0,544.0,640.0,1050
2024-05-24,576.0,608.0,512.0,576.0,882
2024-05-28,544.0,576.0,544.0,576.0,454
2024-05-29,544.0,576.0,544.0,544.0,586
2024-05-30,544.0,544.0,544.0,544.0,630
2024-05-31,512.0,544.0,512.0,512.0,665
2024-06-03,512.0,544.0,512.0,544.0,617
2024-06-04,480.0,512.0,480.0,512.0,695
2024-06-05,480.0,480.0,480.0,480.0,1019
2024-06-06,352.0,480.0,320.0,480.0,5396
2024-06-07,320.0,352.0,320.0,320.0,2700
2024-06-10,221.0,264.0,218.0,250.0,9185
2024-06-11,213.0,219.0,200.0,204.0,7027
2024-06-12,111.0,120.0,108.0,114.0,51822
2024-06-13,109.0,115.0,108.0,114.0,21062
2024-06-14,115.0,124.0,111.0,115.0,66826
2024-06-17,112.0,119.0,112.0,115.0,12824
2024-06-18,122.0,126.0,108.0,113.0,17103
2024-06-20,135.0,137.0,115.0,128.0,29338
2024-06-21,130.0,137.0,128.0,135.0,8557
2024-06-24,119.0,131.0,117.0,131.0,9361
2024-06-25,125.0,130.0,120.0,120.0,4825
2024-06-26,113.0,125.0,112.0,125.0,21166
2024-06-27,69.0,72.0,60.0,62.0,84575
2024-06-28,70.0,72.0,66.0,71.0,15567
2024-07-01,73.0,75.0,67.0,71.0,99170
2024-07-02,74.0,75.0,68.0,73.0,25701
2024-07-03,89.0,90.0,70.0,74.0,45175
2024-07-05,80.0,95.0,79.0,89.0,31952
2024-07-08,71.0,84.0,70.0,83.0,45142
2024-07-09,60.0,63.0,58.0,60.0,42855
2024-07-10,62.0,63.0,60.0,61.0,32589
2024-07-11,61.0,64.0,60.0,63.0,14336
2024-07-12,60.0,64.0,60.0,61.0,13396
2024-07-15,60.0,62.0,59.0,62.0,11467
2024-07-16,61.0,61.0,59.0,61.0,8134
2024-07-17,60.0,61.0,59.0,61.0,18943
2024-07-18,57.0,61.0,56.0,60.0,20402
2024-07-19,56.0,59.0,56.0,57.0,14488
2024-07-22,56.0,59.0,54.0,58.0,20656
2024-07-23,57.0,57.0,54.0,56.0,11295
2024-07-24,53.0,61.0,52.0,60.0,116475
2024-07-25,58.0,60.0,46.0,56.0,112793
2024-07-26,55.0,57.0,54.0,55.0,18814
2024-07-29,57.0,58.0,53.0,55.0,20176
2024-07-30,57.0,58.0,55.0,57.0,11860
2024-07-31,50.0,54.0,50.0,53.0,21584
2024-08-01,51.0,55.0,50.0,52.0,17061
2024-08-02,48.0,52.0,48.0,52.0,12199
2024-08-05,45.0,47.0,42.0,47.0,10192
2024-08-06,46.0,49.0,45.0,46.0,7725
2024-08-07,46.0,49.0,45.0,48.0,6699
2024-08-08,48.0,51.0,46.0,47.0,8488
2024-08-09,48.0,50.0,46.0,47.0,6320
2024-08-12,51.0,52.0,48.0,49.0,8520
2024-08-13,49.0,52.0,48.0,52.0,7686
2024-08-14,50.0,51.0,47.0,50.0,48988
2024-08-15,46.0,50.0,44.0,49.0,30700
2024-08-16,45.0,55.0,40.0,47.0,785859
2024-08-19,45.0,85.0,42.0,60.0,2904660
2024-08-20,38.0,49.0,37.0,46.0,415763
2024-08-21,36.0,38.0,33.0,34.0,404304
2024-08-22,33.0,38.0,33.0,38.0,300449
